NCT Number,Interventions,Drug.Code,Drug.Name,Drug.Type,Drug.Target,Drug.Group
NCT00338026,DRUG: ECO-4601,C62508,Diazepinomicin,Inhibitor,pan-RAS,KRAS
NCT03518554,DRUG: JAB-3068,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT03565003,DRUG: JAB-3068,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT03600883,DRUG: sotorasib|DRUG: Anti PD-1/L1|DRUG: Midazolam,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT03634982,DRUG: RMC-4630,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT03948763,BIOLOGICAL: V941|BIOLOGICAL: Pembrolizumab,C162186,mRNA vac V941,Vaccine,multi-KRAS,KRAS
NCT03989115,DRUG: RMC-4630|DRUG: Cobimetinib|DRUG: Drug: Osimertinib,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT03994796,DRUG: Abemaciclib|DRUG: PI3K Inhibitor paxalisib|DRUG: Entrectinib|DRUG: Adagrasib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT04000529,DRUG: TNO155|DRUG: Spartalizumab|DRUG: Ribociclib,C139559,Batoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04006301,DRUG: JNJ-74699157,C167157,JNJ74699157,Inhibitor,G12C,KRAS
NCT04045496,DRUG: JAB-3312,C164218,JAB3312,Inhibitor,SOS1:SHP2,SHP2
NCT04092673,DRUG: eFT226|DRUG: Sotorasib|DRUG: Fulvestrant|DRUG: Abemaciclib|DRUG: Trastuzumab,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04111458,DRUG: BI 1701963|DRUG: Trametinib,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04117087,DRUG: KRAS peptide vaccine|DRUG: Nivolumab|DRUG: Ipilimumab,C165638,Pept vac,Vaccine,multi-KRAS,KRAS
NCT04121286,DRUG: JAB-3312,C164218,JAB3312,Inhibitor,SOS1:SHP2,SHP2
NCT04165031,DRUG: LY3499446|DRUG: Abemaciclib|DRUG: Cetuximab|DRUG: Erlotinib|DRUG: Docetaxel,C166410,LY3499446,Inhibitor,G12C,KRAS
NCT04185883,"DRUG: Sotorasib|DRUG: Trametinib|DRUG: RMC-4630|DRUG: Afatinib|DRUG: Pembrolizumab|DRUG: Panitumumab|DRUG: Carboplatin, pemetrexed, docetaxel, paclitaxel|DRUG: Atezolizumab|DRUG: Palbociclib|DRUG: MVASI® (bevacizumab-awwb)|DRUG: TNO155|DRUG: IV Chemotherapy (Regimen 1)|DRUG: IV Chemotherapy (Regimen 2)|DRUG: BI 1701963|DRUG: AMG 404|DRUG: Everolimus",C154287|C139559|C155850|C166138,Sotorasib|Batoprotafib|Vociprotafib|BI1701963,Inhibitor|Inhibitor|Inhibitor|Inhibitor,G12C|SOS1:SHP2|SOS1:SHP2|SOS1:SHP2,KRAS|SHP2|SHP2|SOS1
NCT04252339,DRUG: RLY-1971,C199073,Migoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04281420,DRUG: ATG-019|COMBINATION_PRODUCT: ATG-019 + Niacin ER,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT04294160,DRUG: Dabrafenib|DRUG: LTT462|DRUG: Trametinib|DRUG: LXH254|DRUG: TNO155|BIOLOGICAL: Spartalizumab|BIOLOGICAL: Tislelizumab,C139559,Batoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04305249,DRUG: ATG-017|DRUG: ATG-017+Nivolumab,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT04380753,DRUG: AMG 510,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04449874,DRUG: GDC-6036|DRUG: Atezolizumab|DRUG: Cetuximab|DRUG: Bevacizumab|DRUG: Erlotinib|DRUG: GDC-1971|DRUG: Inavolisib,C173995|C199073,Divarasib|Migoprotafib,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04528836,DRUG: BBP-398 (Formerly known as IACS-15509),C177417,BBP398,Inhibitor,SOS1:SHP2,SHP2
NCT04585035,"DRUG: D-1553|DRUG: D-1553 in combination with Drug: pembrolizumab, Drug:KEYTRUDA® , Drug: cetuximab, Drug: other",C178562,Garsorasib,Inhibitor,G12C,KRAS
NCT04589845,DRUG: Entrectinib|DRUG: Entrectinib|DRUG: Alectinib|DRUG: Atezolizumab|DRUG: Ipatasertib|DRUG: Trastuzumab emtansine|DRUG: Idasanutlin|DRUG: Inavolisib|DRUG: Belvarafenib|DRUG: Pralsetinib|DRUG: GDC-6036|DRUG: Camonsertib,C173995,Divarasib,Inhibitor,G12C,KRAS
NCT04627142,DRUG: BI 1701963|DRUG: Camptosar®,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04670679,DRUG: ERAS-601|DRUG: Cetuximab|DRUG: Pembrolizumab,C176881,ERAS601,Inhibitor,SOS1:SHP2,SHP2
NCT04678648,DRUG: RSC-1255 Dose Escalation|DRUG: RSC-1255 Dose Expansion,C178264,RSC1255,Inhibitor,pan-RAS,KRAS
NCT04699188,DRUG: JDQ443|DRUG: TNO155|BIOLOGICAL: tislelizumab,C177916|C139559,Opnurasib|Batoprotafib,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04720976,DRUG: JAB-3312|DRUG: Binimetinib|DRUG: Pembrolizumab|DRUG: Sotorasib|DRUG: Osimertinib,C154287|C164218,Sotorasib|JAB3312,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04721223,DRUG: JAB-3068|DRUG: PD1 inhibitor,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT04793958,DRUG: MRTX849|BIOLOGICAL: Cetuximab|DRUG: mFOLFOX6 Regimen|DRUG: FOLFIRI Regimen,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT04800822,DRUG: PF-07284892|DRUG: lorlatinib|DRUG: binimetinib|BIOLOGICAL: cetuximab|DRUG: encorafenib,C178469,PF07284892,Inhibitor,SOS1:SHP2,SHP2
NCT04835714,DRUG: BI 1701963|DRUG: BI 3011441,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04843033,DRUG: SH3809 tablet,C180590,SH3809,Inhibitor,SOS1:SHP2,SHP2
NCT04853017,DRUG: ELI-002 2P,C179231,AMP vac ELI002,Vaccine,multi-KRAS,KRAS
NCT04866134,DRUG: ERAS-007|DRUG: ERAS-601,C176881,ERAS601,Inhibitor,SOS1:SHP2,SHP2
NCT04892017,DRUG: DCC-3116|DRUG: Trametinib|DRUG: Binimetinib|DRUG: Sotorasib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04916236,DRUG: RMC-4630|DRUG: LY3214996,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04929223,DRUG: Inavolisib|DRUG: Bevacizumab|DRUG: Cetuximab|DRUG: Atezolizumab|DRUG: Tiragolumab|DRUG: SY-5609|DRUG: Divarasib|DRUG: FOLFOX|DRUG: FOLFIRI,C173995,Divarasib,Inhibitor,G12C,KRAS
NCT04956640,DRUG: LY3537982|DRUG: Pembrolizumab|DRUG: Cetuximab|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Carboplatin,C181751,Olomorasib,Inhibitor,G12C,KRAS
NCT04973163,DRUG: BI 1823911|DRUG: BI 1701963|DRUG: Midazolam,C181997|C166138,BI1823911|BI1701963,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SOS1
NCT04975256,DRUG: MRTX849|DRUG: BI 1701963,C157493|C166138,Adagrasib|BI1701963,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SOS1
NCT05002270,DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: Cetuximab (EGFR inhibitor),C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT05009329,DRUG: JAB-21822|DRUG: JAB-21822|DRUG: JAB-21822,C181904,Glecirasib,Inhibitor,G12C,KRAS
